question1,question2
curiosity to sadness: Why are Indians so overdramatic?,What makes you sad about people living in India?
curiosity to anger: Which country has the coolest national anthem?,What are the worst national anthems?
curiosity to confusion: How do I convince myself to quit smoking?,How do I convince myself to quit smoking?
curiosity to confusion: How do I get motivated to lose weight?,How do I get motivated to lose weight?
"joy to curiosity: What's the best time to visit Shimla, Manali & Kullu so that I can enjoy the snow and also river rafting?",Is October good time to see snow covered mountains in Manali?
curiosity to confusion: Is a salt water rinse better than mouthwash in preventing oral infections? Why?,Is a salt water rinse better than mouthwash in preventing oral infections? Why?
admiration to curiosity: What is smartvalu.biz company?,What is socialtrade.biz?
curiosity to confusion: Why should I become an IAS officer?,Why should I become an IAS officer?
curiosity to admiration: What is the best TV series and why?,What is the best TV series and why?
love to curiosity: How do I know true love?,When can someone actually know he or she is in love?
confusion to curiosity: How can I not be an introvert?,How can one be less of an introvert?
curiosity to confusion: What`s the best way to get rid of porn addiction?,What`s the best way to get rid of porn addiction?
love to curiosity: Love is a very broad topic. What's your take on it?,How do you know when you love somebody?
curiosity to love: Can a person be in love with two persons at a same time?,Can a person be in love with two persons at a same time?
sadness to curiosity: My weigh scale says I lost weight but I don't see any physical fat loss on my body. Why can't I see physical weight loss?,My weigh scale says I lost weight but I don't see any physical fat loss on my body. Why can't I see physical weight loss?
"anger to curiosity: What's a polite way of saying ""fuck off!"" to someone?","What's a polite way of saying ""fuck off!"" to someone?"
curiosity to confusion: How can someone be active on messenger and not receive my delivered message?,How can someone be active on messenger and not receive my delivered message?
"joy to love: I am a lesbian teen and my girlfriend seems upset lately, how do I make her happy again?","My girlfriend left me saying ""I don't have feelings for you as before"". I still I love her a lot. It seems I am a loser. I couldn't remove her from my life and this makes me hate myself. Every person related to me knows how truly I love that girl. How should I restart my life?"
curiosity to admiration: What is the best route to choose after completing a B.Tech in mechanical?,What is the best route to choose after completing a B.Tech in mechanical?
curiosity to love: What is a love bite and how do you give someone one?,What is a love bite and how do you give someone one?
curiosity to confusion: How can I find out why my craigslist posting was flagged?,How can I find out why my craigslist posting was flagged?
"confusion to curiosity: I don't want anything to do with my ex boyfriend but at times I cannot stop thinking about him, what can I do to stop thinking about him so much?",I miss my ex so much how do I stop thinking about it?
curiosity to confusion: Is abortion a morality issue?,Is abortion a morality issue?
confusion to curiosity: How do I reduce being absent minded?,How can l be more concentrated and stop being absent -minded?
curiosity to desire: Do you know about input vector controlled method of leakage reduction?,Do you know about input vector controlled method of leakage reduction?
admiration to curiosity: What is the difference between an intelligent person and a smart person?,What is the difference between smart and intelligent?
confusion to curiosity: Why don't we send preserved human remains into deep space as a DNA time capsule of sorts?,Why did SpaceX send a wheel of cheese into space?
curiosity to anger: Should you have sex in high school?,How can I not hate high school?
curiosity to anger: What is the best financial investment you have ever made?,What's the worst investment you ever made?
confusion to curiosity: I've had a stutter since I was a child and not completely cured it. How can I cure mine?,Since I'm a severe stutterer will it be harder for me to be accepted into a job?
"admiration to curiosity: What are some lesser seen, amazing Harry Potter wallpapers?",Why is Harry Potter considered skilled?
anger to curiosity: Why is Assam so fucked up?,Why is Assam so fucked up?
love to curiosity: I'm in love with my best friend. I'm gay; he's straight. What should I do?,I'm a woman. How do I make gay friends?
curiosity to anger: What is the most tactless thing you have ever done?,What is the rudest thing you have ever done?
curiosity to confusion: I have GPU implementation as a graduation project. Is there any recommended material?,I have GPU implementation as a graduation project. Is there any recommended material?
curiosity to admiration: Where can I get nursery and baby prints on cotton fabric in Delhi?,Where can I get nursery and baby prints on cotton fabric in Delhi?
curiosity to confusion: How do I say no to a friend?,How do I say no to a friend?
surprise to curiosity: Is Wikileaks planning an 'October Surprise' for Hillary Clinton?,Is Wikileaks planning an 'October Surprise' for Hillary Clinton?
confusion to curiosity: Why don't I get answers for some of my questions on Quora?,Why do my questions get so many views but little answers?
love to curiosity: How can I really believe you love me?,How do you know when someone really loves you?
curiosity to confusion: Where can I watch all the censored scenes of Deadpool?,Where can I watch all the censored scenes of Deadpool?
admiration to curiosity: Is Smartron tbook good?,"Which laptop I should buy, Dell or Lenovo or HP ?"
"love to curiosity: Which fictional character do you love the most, and why?",Which fictional character do you love?
curiosity to anger: How old are the characters during the first season of Friends?,Who is the most stupid character in Friends?
love to curiosity: How can I know my girl is loving me?,How do I know if a girl loves me?
curiosity to confusion: Should I go back to a girl who dumped me Twice?,Should I go back to a girl who dumped me Twice?
confusion to curiosity: Can I open the Flipkart packing and check whether I have got the right product or not before paying in cash on delivery?,What is the default rate for Flipkart's cash on delivery in India?
"confusion to curiosity: If I have an iCloud, can I delete all the photos from my phone?",Can I upload my photos to icloud on my phone and delete them from my phone safely?
confusion to curiosity: Is there any way I can train myself to cultivate interest or develop passion for programming?,How can I stop worrying about what other people think?
admiration to curiosity: What are some other amazing websites/apps like Quora?,What are some other learning apps like Quora?
surprise to curiosity: Is Wikileaks planning an 'October Surprise' for Hillary Clinton?,Is Wikileaks planning an 'October Surprise' for Hillary Clinton?
confusion to curiosity: Why and why not should I believe in God?,Why should I believe in God?
curiosity to admiration: Is 12 Mbps a good internet speed for streaming and gaming?,Is 12 Mbps a good internet speed for streaming and gaming?
curiosity to confusion: Is/are there any PC games (offline or online) as good as Counter-Strike: Global Offensive?,Is/are there any PC games (offline or online) as good as Counter-Strike: Global Offensive?
confusion to curiosity: Why should I vote or not vote for Narendra Modi in 2019 elections?,Why should I vote for Narendra Modi in the upcoming election?
curiosity to love: How do you get rid of Love handles?,How do you get rid of Love handles?
curiosity to admiration: Where can I get affordable package in Sydney for floor tiles?,Where can I get affordable package in Sydney for floor tiles?
admiration to curiosity: What is the best comic ever written/drawn?,What are the best comics?
"confusion to curiosity: Should I form an LLC, C or S corp for my investment business?",What's an appropriate Delaware C-Corp business address for an internet company that's run out of my house?
confusion to curiosity: I'm not musically inclined. How can I easily learn to play the guitar?,How can I learn to play guitar?
curiosity to love: What is it like to be in a relationship with someone who already has children?,What is it like to be in a relationship with someone who already has children?
disappointment to curiosity: Im 20 now and I have wasted 3 years of my life doing nothing,Im 20 now and I have wasted 3 years of my life doing nothing
curiosity to love: How do someone fall in love?,How do someone fall in love?
curiosity to confusion: How shall I stop watching porn?,How shall I stop watching porn?
admiration to curiosity: What is the difference a good Bard player and a great one?,What is the salary of pat in cognizant technology solutions?
curiosity to confusion: How do you fix hard drive error 305 and 303?,How do you fix hard drive error 305 and 303?
disgust to curiosity: What is your biggest and weirdest pet peeve ever?,What is your biggest and weirdest pet peeve ever?
"curiosity to admiration: Genetically speaking, are Asians closer to Blacks or Caucasians?","Genetically speaking, are Asians closer to Blacks or Caucasians?"
optimism to love: I'm not as happy as I used to be & I think our relationship has run its course. Should I still cling on to hope or just end it?,I'm still in love with my ex. What should I do?
"love to curiosity: Do you love your job? If so, what is your job and why do you love it?",Do you love your job?
curiosity to love: How could I finish a sentence?,How could I finish a sentence?
"curiosity to admiration: What is Delta Charting Group in Tucson, Arizona?","What is Delta Charting Group in Tucson, Arizona?"
"curiosity to confusion: Can bumble track your location even if you are not active? For example, if you are not currently using the application will it update where you are?","Can bumble track your location even if you are not active? For example, if you are not currently using the application will it update where you are?"
curiosity to amusement: Why would your mortgage company call you several times and ask you to fill out another modification when they know they will not change the payment?,Why would your mortgage company call you several times and ask you to fill out another modification when they know they will not change the payment?
"love to curiosity: What is the difference between infatuation and ""real love""?",How would you differentiate between infatuation and love?
curiosity to confusion: How do I keep myself from getting distracted?,How do I keep myself from getting distracted?
"admiration to curiosity: Which are the best of the best earphones for the ultimate bass, within Rs. 1000?",Which is the best bass in headphone under 1000?
curiosity to confusion: Why do all of my questions get marked as needing improvement?,Why do all of my questions get marked as needing improvement?
"curiosity to admiration: What is the difference between UK, Great Britain & England, why they are not one single country at all places? Please read the details?","What is the difference between UK, Great Britain & England, why they are not one single country at all places? Please read the details?"
curiosity to love: Is it possible that a woman can be in love with 2 men at a same time?,Is it possible that a woman can be in love with 2 men at a same time?
curiosity to confusion: Why do Scandinavian countries have such a low crime rate?,Why do Scandinavian countries have such a low crime rate?
curiosity to love: Are expectations really bad in relationships?,Are expectations really bad in relationships?
curiosity to confusion: Can Yao's min max principle be applied to the infinite case?,Can Yao's min max principle be applied to the infinite case?
confusion to curiosity: Why don't we get to chose whom we love? Why do we always fall for a completely wrong person and get heartbroken?,What is the best way to report fraud to Centrelink?
confusion to curiosity: Why do I have dreams that come true?,Why does some dreams come true?
fear to curiosity: Is a longitudinal cut along one's wrist more dangerous than a transverse one?,Is a longitudinal cut along one's wrist more dangerous than a transverse one?
curiosity to optimism: Can you fry chicken without flour? Why or why not?,Can you fry chicken without flour? Why or why not?
curiosity to sadness: What is the cheapest method to commit suicide?,What is the least painful and best way to commit suicide?
anger to curiosity: What are the worst answers ever given on Quora?,What are the worst answers ever given on Quora?
admiration to curiosity: Most handsome Hollywood current male actor?,"Is IIT the greatest tag even than MIT, Harvard, Stanford..etc?"
curiosity to annoyance: How do I tell my mom that her annoying friend needs to leave because she's overstayed her welcome?,How do I tell my mom that her annoying (to me) friend has been at our house too long?
"confusion to curiosity: If my job is eliminated and the company offers me a comparable job which I refuse, am I still entitled to severance?",What is it like to live and work in Dubai?
curiosity to admiration: Which was the best Instagram bio?,Which was the best Instagram bio?
admiration to curiosity: What is the most popular food in this world,What is the most popular food in the world?
anger to curiosity: What was your worst customer service experience you've ever had?,What was your worst customer service experience you've ever had?
admiration to curiosity: What are some awesome things to do in New York that are not in the standard guide books?,What are your favorite things to do in New York City?
approval to curiosity: I am a very I insecure person. How can I build self esteem and confidence?,What can I do to build up my self esteem and confidence?
curiosity to amusement: Do voice overs really pay a pivotal role in explainer videos?,Do voice overs really pay a pivotal role in explainer videos?
confusion to curiosity: I often don't think about how my actions affect others. Is something wrong with me?,I want to be everyone's friend. But they don't want to. Why? Is there something wrong with me?
anger to curiosity: Is there any relation between anger and nose bleeds?,Is there any relation between anger and nose bleeds?
embarrassment to curiosity: What's the most awkward/embarrassing situation you've ever faced in your life?,What's the most awkward/embarrassing situation you've ever faced in your life?
"joy to curiosity: I have some friends I enjoy spending time with, and I love my family. Why do I feel so distant from both of them?",Ias topper prelim marks?
curiosity to amusement: What are some books written by Indian authors that are as good as the books by foreign authors?,What are some books written by Indian authors that are as good as the books by foreign authors?
"curiosity to confusion: A good friend of mine is gay , but we made out before telling me. Is there any chance he is bisexual ?","A good friend of mine is gay , but we made out before telling me. Is there any chance he is bisexual ?"
curiosity to anger: How do I stop receiving Quora emails?,How do I stop receiving these fucking annoying emails from Quora Digest?
"admiration to curiosity: What is, scientifically, the best form of energy to use?",What is the best and scientific way to get rid of any bad habit?
curiosity to admiration: What are the most upsetting and consequential things that you read in the leaked DNC Emails?,What are the most upsetting and consequential things that you read in the leaked DNC Emails?
curiosity to fear: What is the price of a German Shepherd dog in India?,"My dog always follows me around the house. He is a German Shepherd, 2 months. Is it natural that he's following me or is he scared/worried?"
love to sadness: I really like this girl but but she has a boyfriend what should I do?,"A girl that I like, who shall remain nameless, has a boyfriend that she met on Kik. I'm really sad now, what should I do?"
curiosity to admiration: How long does it take to burn in a plasma TV?,How long does it take to burn in a plasma TV?
"love to curiosity: I can't love the girl who loves me so much, no matter how hard I try. What can I do to leave her without hurting her feelings?",How do I breakup with a girl without hurting her feelings?
curiosity to confusion: I want to use AutoMouser but it is not working. How do I fix it?,I want to use AutoMouser but it is not working. How do I fix it?
curiosity to confusion: Which book is better for NEET?,Which book is better for NEET?
admiration to curiosity: Is Michael Phelps the greatest swimmer ever?,Is Michael Phelps the greatest swimmer of all time?
"confusion to curiosity: As an entrepreneur, how can I sell my ideas to an investor?",Can you sell your idea?
anger to confusion: My girlfriend became angry because I accepted the Facebook friend request of my brother's new girlfriend. Should I have rejected the request?,My girlfriend became angry because I accepted the Facebook friend request of my brother's new girlfriend. Should I have rejected the request?
confusion to fear: Why do I feel like killing myself?,Why do I sometimes feel like killing myself but am afraid of getting hurt?
curiosity to confusion: Why is utopia impossible?,Why is utopia impossible?
curiosity to admiration: Where do I start for me to become a movie director?,Where do I start for me to become a movie director?
curiosity to confusion: What is stamp paper value required for rent agreement?,What is stamp paper value required for rent agreement?
"curiosity to confusion: Why was Henry VIII's mother Queen Consort and not Regnant? Was it the decision of Henry VII, or Elizabeth herself who didn't want to share power?","Why was Henry VIII's mother Queen Consort and not Regnant? Was it the decision of Henry VII, or Elizabeth herself who didn't want to share power?"
curiosity to confusion: What are the best free online tutorials about  Digital painting?,What are the best free online tutorials about  Digital painting?
love to curiosity: Does religion matter in love? I'm a Christian. Will it be okay to marry a Hindu guy?,Can a Hindu guy marry a Christian girl? How do I tell her what is in my mind?
curiosity to amusement: Can you give some exampes of Applicative Functors which are not Monads?,Can you give some exampes of Applicative Functors which are not Monads?
"amusement to curiosity: I need to have a copy to clipboard funtionality on my php webpage. Only a particular cell needs to be copied, not all the table. How should I go about it?","How do i replicate the changes done on one server to other automatically? Suppose i copy the data on server one, then it be copied to another server"
curiosity to fear: What is the purpose of UGC CSIR net?,"Preparing for civil services but my parents are worried, they are asking me to join in some software company.I don't know what to do?"
curiosity to admiration: How should I talk to this girl in my college lecture class?,How should I talk to this girl in my college lecture class?
"confusion to curiosity: I am at my room now and i want to find the direction in which I am sitting. But, I don't have a compass. And its dark outside. How do I do it?","I am lost in the wilderness. I have a compass, watch and map. How do I use these items to find civilization?"
"curiosity to confusion: How can I retrieve my WeChat account if I've forgotten my password, don't have QQ/email linked, and lost my phone?","How can I retrieve my WeChat account if I've forgotten my password, don't have QQ/email linked, and lost my phone?"
gratitude to curiosity: I need some tips on how to write a gracious thank-you email to all my colleagues and acquaintance as I leave the organisation?,How can I easily delete all messages in my Facebook inbox?
admiration to curiosity: I constantly think I'm going to fail. I feel that this has a great impact on my performance in my work. How do I solve it?,What started as work stress has turned into almost overwhelming anger. I feel like I'm going to snap. How do I calm down?
curiosity to admiration: What are the most powerful pictures you've ever seen? And why?,What are the most powerful pictures you've ever seen? And why?
curiosity to confusion: What brands does Tom Ford wear on himself?,What brands does Tom Ford wear on himself?
"fear to curiosity: I'm 40 and I want to become a UX designer, but I'm afraid of ageism in tech. Is it going to be hard for me to get/keep a job in UX in tech after 50?","I'm 40 and I want to become a UX designer, but I'm afraid of ageism in tech. Is it going to be hard for me to get/keep a job in UX in tech after 50?"
curiosity to confusion: Why do people lose interest in Quora?,Why do people lose interest in Quora?
curiosity to admiration: Which is best software course for a fresher to get IT job? Which course has more demand nowadays,Which is best software course for a fresher to get IT job? Which course has more demand nowadays
fear to curiosity: I'm a lawyer but I have stage fright. I fear appearing in court. How can I get over it?,I'm a lawyer but I have stage fright. I fear appearing in court. How can I get over it?
"confusion to curiosity: I don't know what I want to do with my life. Every day, week or month I want to do something different. What should I do?",What should I do if i don't know what i want to do with my life?
curiosity to admiration: When was the last year that America was great according to the Trump campaign?,When was the last year that America was great according to the Trump campaign?
curiosity to admiration: What is the truth behind the Ankit Srivastava writing that he scored more marks than this year's topper tina dabi and wrote an article about it?,What is the truth behind the Ankit Srivastava writing that he scored more marks than this year's topper tina dabi and wrote an article about it?
curiosity to love: Is Chandigarh University or lovely professional University good?,Is Chandigarh University or lovely professional University good?
admiration to curiosity: What's the best way to find out what I am good at?,How can I figure out what I'm good at?
"fear to curiosity: My Fitbit tracker shows that my sleep is terrible, and I'm freaking out. How do I know it's actually accurate?","My Fitbit tracker shows that my sleep is terrible, and I'm freaking out. How do I know it's actually accurate?"
curiosity to love: I start a news website but have no money to promote it. How can I make it successful?,I start a news website but have no money to promote it. How can I make it successful?
admiration to curiosity: What's the best way to tell my crush I like him?,How do I tell a girl I like her?
"disappointment to curiosity: I am student in Kota. of 13 and I am very much frustrated and not feeling like studying anymore., help me?","I am student in Kota. of 13 and I am very much frustrated and not feeling like studying anymore., help me?"
curiosity to confusion: What is the best way to hang a skateboard deck on the wall?,What is the best way to hang a skateboard deck on the wall?
fear to curiosity: What Herbalife products have terrible side effects,What Herbalife products have terrible side effects
admiration to curiosity: What is the best Telugu book that I can give my best friend?,What are the best Telugu movie dialogues?
curiosity to love: Is it normal to cry almost every day?,Is it normal to cry almost every day?
surprise to curiosity: What is god -believe and truth?,What is god -believe and truth?
confusion to curiosity: What should I do to reduce weight?,How do I lose weight?
confusion to curiosity: Why can't modern physicits agree on the nature of time and many other things? Has physics become subjective rather than an objective science?,"Why hasn't a computer operating system (and app) been created so that the user can save to multiple drives at once and see the drive the file has been saved to, rather than just the title of the file?"
confusion to sadness: Which are the hit female singer songs before 2007 ? I am looking for one song which I liked but don't know the song name it was a popular hit song,How can I make a hit sad song?
curiosity to love: What are the contributions of Abdul Kalam as a scientist?,What are the contributions of Abdul Kalam as a scientist?
desire to curiosity: I want to study in usa I have completed bcom and I scored only 60% because I want to earn and settle in USA as soon as possible what should I do?,Why does this guy acts like this around me?
anger to curiosity: What is the worst pickup line someone has used on you?,What is the worst pickup line someone has used on you?
curiosity to admiration: What is Kik Messenger?,What is Kik Messenger?
amusement to curiosity: What are some of the funniest jokes you've ever heard?,What is the best joke you've ever heard? Please keep it clean.
admiration to curiosity: What is the best site for the world's greatest paintings and drawings by famous painters?,Which painters are famous for painting flowers?
amusement to admiration: What are the funniest conversations you overheard when people thought you didn't understand their language?,What is the most amazing thing you overheard because people didn't think you understood their language?
"curiosity to confusion: I got hacked on Instagram, and my email is changed and everything, how do I get my email, password, AND my account back? Someone help me..","I got hacked on Instagram, and my email is changed and everything, how do I get my email, password, AND my account back? Someone help me.."
curiosity to fear: What are the top 5 most dangerous cities in the United States? How did they become so dangerous?,What are the most dangerous US cities? Why are they so dangerous?
curiosity to amusement: What is the best joke you've ever heard? Please keep it clean.,What is the best joke you've ever heard? Please keep it clean.
surprise to curiosity: What are some sexiest lesbian movies ever made？,What are some sexiest lesbian movies ever made？
curiosity to confusion: What does it mean when someone stares at you?,What does it mean when someone stares at you?
"sadness to curiosity: I(21) gave up my college savings(30k)so my bf can move forward in his career, in return he never appreciated me, how do I stop being sad over this?","I(21) gave up my college savings(30k)so my bf can move forward in his career, in return he never appreciated me, how do I stop being sad over this?"
confusion to curiosity: What should I not ask on Quora?,What kinds of questions will Quora get you useful answers for? And what is the most effective way of asking a question on here?
love to curiosity: Why do I love people?,Why do people love?
"confusion to curiosity: I don't know what I want to do with my life. Every day, week or month I want to do something different. What should I do?",What if I don't know what I want to do with my life?
admiration to curiosity: What are great start up ideas?,What are some good start up ideas?
curiosity to amusement: What's the funniest movie you have ever seen?,What's the funniest movie you have ever seen?
curiosity to confusion: How do I break into a password user account on Windows 10?,How do I break into a password user account on Windows 10?
curiosity to confusion: Why should I upgrade my iPhone 5 to iPhone 5s?,Why should I upgrade my iPhone 5 to iPhone 5s?
"curiosity to admiration: What are some best ""Jugaad"" pictures or ideas, you have ever seen/heard?","What are some best ""Jugaad"" pictures or ideas, you have ever seen/heard?"
love to curiosity: I love food and have a big appetite. I'm also quite busy. What tips can you give me to lose weight?,I'm fat. How do I lose weight?
curiosity to confusion: I had a vivid dream about making up with ex best friends I don't speak to anymore. Should I try to make the dream real or just accept it was a dream?,I had a vivid dream about making up with ex best friends I don't speak to anymore. Should I try to make the dream real or just accept it was a dream?
curiosity to confusion: Should I ever care what people think of me?,Should I ever care what people think of me?
"curiosity to confusion: Is ""I have not tried asking anyone on a date yet"" an idiomatic and enough expression?","Is ""I have not tried asking anyone on a date yet"" an idiomatic and enough expression?"
confusion to curiosity: How can I unhide people I searched in instagram?,How do I clear recent search of Instagram?
"curiosity to optimism: Is it hard to find work as a helicopter pilot, especially if you're an African American female?","Is it hard to find work as a helicopter pilot, especially if you're an African American female?"
confusion to curiosity: Why am I peeing a little bit of blood? How dangerous is it?,What happens if you're peeing pure blood?
curiosity to confusion: I am a 49 year old virgin that has never been kissed. How should I start off? I'm shy.,I am a 49 year old virgin that has never been kissed. How should I start off? I'm shy.
curiosity to amusement: Where can I watch the movie KImi no Na wa (Your name)?,Where can I watch the movie KImi no Na wa (Your name)?
curiosity to confusion: How do I survive office politics?,How do I survive office politics?
confusion to curiosity: How do I know which side requires the higher voltage in a transformer?,Which side is hv for this transformer? (Yellow or red)?
curiosity to anger: How does one deal with anger issues?,How can I manage my anger issues?
love to curiosity: How could we know that we are falling in love?,How do know when you're in love?
curiosity to confusion: Why do people find it so difficult to accept the truth?,Why do people find it so difficult to accept the truth?
confusion to curiosity: Should I leave my current IT job?,Can I quit my job without giving a 2 weeks’ notice?
admiration to curiosity: What are some good ideas for the final year B.E CSE project?,What are the best ideas for final year CSE projects?
confusion to curiosity: Why doesn't any other villain kill The Joker?,"Who would win in a fight: Deadpool or Batman, and why?"
anger to annoyance: What is most stupid question on Quora?,"Which is the most stupid question on Quora, except this one?"
admiration to curiosity: How do I make a website like GreatAndhra.com?,How can I make a website like hipsterlogogenerator.com?
caring to curiosity: Is Ireland safe for a muslim girl to travel alone?,Is it safe for a 21 year old Indian to travel alone to Bangkok?
confusion to curiosity: Is their any offline app or link through which I can ask my doubts in English grammar 24*7 without feeling any hesitation?,Is it normal to willfully create imaginary scenes so vividly that it’s like going to the movies?
confusion to curiosity: How can I stop caring too much about how other people think of me?,How can I stop caring for people too much?
curiosity to confusion: How do Veterans use and find out information about their benefits?,How do Veterans use and find out information about their benefits?
curiosity to admiration: What are some of the best examples of sarcasm?,What are some of the best examples of sarcasm?
curiosity to admiration: What are some best examples of Presence of mind?,What are some best examples of Presence of mind?
curiosity to sadness: I am 15 years old and I have a long torso and short legs how can I get longer legs by a couple inches without surgery?,I have had a partial meniscus removed from both my knees and recently had an ACL reconstruction surgery and am 4 months post operation. I am tired of the pain and feel like chopping off my leg. How can I attain a positive mindset when I have been constantly in pain for 2 years?
confusion to curiosity: Why should I not vote for Hillary Clinton or Donald Trump?,Would you rather vote for Donald Trump or Hillary Clinton? Why?
admiration to curiosity: Where can I buy very incredible and most amazing cupcakes in Gold Coast?,Where can I buy best quality gourmet cupcakes in Gold Coast?
fear to curiosity: Do psychopaths get scared?,Do psychopaths get scared?
confusion to curiosity: Why do or don't people believe in aliens?,why do people believe aliens exist ?
optimism to curiosity: Is there any hope left about the earth after the people bent on destroying it have taken the reigns of power in the US?,How much money would I need to backpack through Europe for 6 months?
"joy to curiosity: As an international student (21+) studying in Colorado, CO, am I legally allowed to enjoy recreational marijuana?",What do I need to do to run a campaign to get recreational marijuana legalized in Missouri?
sadness to curiosity: How do I stop being depressed and sad all the time?,How do I stop being depressed and sad all the time?
"confusion to curiosity: My face skin is so dry, which cream or facewash should I use?",What is the best face cream available in India that makes skin glow?
love to curiosity: What best way to celebrate new year with ur love in Rourkela?,What could be the wildest sexual fantasy of most men?
"joy to love: My girlfriend, whom I love dearly, broke up with me. If that makes her happy I'll let her go. What's one last thing that I can do or say to her?",My gf cheated on me five times and I beat her up and then we broke up. I really love her. How can I get her back?
amusement to curiosity: What's the funniest highbrow joke you've ever heard?,What is the best joke you have ever heard?
curiosity to admiration: What are good books to gift?,What are good books to gift?
confusion to curiosity: Should I choose ECE in MS Ramaiah or mechanical in PES?,Is PES University good for an M.Tech in mechanical?
curiosity to admiration: What do you think of the Nintendo Switch?,What do you think of the Nintendo Switch?
curiosity to confusion: How does a commerce tutor get job in Pune?,How does a commerce tutor get job in Pune?
fear to curiosity: At what point does buying a pregnancy test move from terrifying and embarrassing to exciting and anticipated?,At what point does buying a pregnancy test move from terrifying and embarrassing to exciting and anticipated?
desire to curiosity: I want to be rich by the age of 25 and I am 14. What shall I do now?,I want to become rich. What should I do?
"curiosity to confusion: How can you effectively respond when your husband, wife, or significant other cooks something you don't like?","How can you effectively respond when your husband, wife, or significant other cooks something you don't like?"
curiosity to confusion: Top hairtransplant centres in India?,Top hairtransplant centres in India?
caring to curiosity: Is it safe to use melatonin and diphenhydramine together to sleep?,What are the dangers of taking Paxil and Melatonin at the same time?
confusion to curiosity: How do I apply in private medical college with neet ranking?,How can I apply for a private medical college?
curiosity to admiration: What models can be used in a science exhibition?,What models can be used in a science exhibition?
anger to curiosity: Why does my mom yell at me for being angry?,Why does my mom yell at me for being angry?
curiosity to confusion: How do I believe that Bible is literally true?,How do I believe that Bible is literally true?
admiration to curiosity: What's the best sex position when the vagina is too tight?,"How is it possible for a woman to be very experienced in sex, but have a very tight vagina?"
confusion to curiosity: Is it racist to believe that some races have different strengths & preferences than others? Meaning we didn't evolve exactly the same way?,Has it been determined that some human races have evolved differently than others in specific respects?
curiosity to admiration: What's the difference between a TF card and a Micro SD card?,What's the difference between a TF card and a Micro SD card?
amusement to curiosity: What are some funny excuses given by the students of IITK coming late to class?,"What are some of the most interesting excuses students give for missing class, or not completing an assignment?"
curiosity to admiration: How can we write a essay?,How can we write a essay?
"curiosity to love: My girlfriend broke up with me , what should I do?","My girlfriend broke up with me , what should I do?"
confusion to curiosity: Whom should I follow on quora?why?,Who are some of the smart people to follow on Quora?
curiosity to admiration: What are some best online shopping sites for men clothing?,What are some best online shopping sites for men clothing?
"curiosity to love: My girlfriend is having piles, I am depressed after i get to know about this. what should I do now?","My girlfriend is having piles, I am depressed after i get to know about this. what should I do now?"
"admiration to curiosity: What is the best way to preserve art work (photos, drawings, paintings, etc.)?",What's the best way to get into painting art?
admiration to curiosity: What is the most awesome feeling?,"Why are my ""gut feelings"" usually right? Is this the same for others?"
curiosity to confusion: How will I know if my child is taking drugs?,How will I know if my child is taking drugs?
confusion to curiosity: Why cant I stop missing my girlfriend?,How do I stop missing my girlfriend?
sadness to curiosity: What is the least painful and best way to commit suicide?,What is the least painful and best way to commit suicide?
"confusion to curiosity: Do anyone know about the Lenovo Ideapad 500S laptop? How is it? I want to buy this laptop but I am confused which laptop should I buy, HP or Lenovo.",How is Lenovo Ideapad 500s(14) laptop?
curiosity to desire: I want to start a software company in India. How shall I register and plan that?,I want to start a software company in India. How shall I register and plan that?
curiosity to fear: How can I overcome the fear of public speaking?,What's the best way to overcome fear of speaking in public?
confusion to curiosity: How can I be ok with not being ok?,Will everything be ok?
"confusion to curiosity: Why can't the government ban drugs, smoking, tobacco and drinking alcohol?",Should smoking and drinking be banned in India?
curiosity to love: What's the biggest mistake you have ever made?,What's the biggest mistake you have ever made?
confusion to curiosity: Should I abortion be illegal?,Should abortion be legal?
curiosity to love: What's your favorite song and why?,What's your favorite song and why?
curiosity to love: How should I approach a girl roommate if she is avoiding me?,How should I approach a girl roommate if she is avoiding me?
curiosity to confusion: Which are the best institutes offering a PhD in wireless communications?,Which are the best institutes offering a PhD in wireless communications?
curiosity to confusion: I forgot my password. How can one figure out the administrator password of a laptop with Windows 7 OS?,I forgot my password. How can one figure out the administrator password of a laptop with Windows 7 OS?
curiosity to love: What can I do to build up my self esteem and confidence?,What can I do to build up my self esteem and confidence?
curiosity to fear: How does a 3D pen work?,How do I not feel scared of being alone?
curiosity to amusement: Why do some people smile when we are in trouble?,Why do some people smile when we are in trouble?
curiosity to confusion: Can I track a lost phone?,Can I track a lost phone?
confusion to curiosity: Should I vote for Donald Trump or Hillary Clinton?,Do you support Donald Trump or Hillary Clinton? Why?
love to confusion: I love a girl… I proposed and found out later that she has a boyfriend….she wants to be “just friends” even now…What do I do?,"A girl I love said she wants to be friends with me first before progressing into a couple. I agreed with her and started going out a lot lately, even after Valentine's. She kissed me indirectly and retorted that we are still friends, I'm so confused right now, what should I do?"
curiosity to annoyance: What are the top digital marketing courses providers in Kuwait?,"My life is hell, I am 25,cant face my relative because I am just +2 no idea what should I do everone left me my gf beside my few frnds?"
curiosity to confusion: How can I pay my mortgage off early?,How can I pay my mortgage off early?
curiosity to confusion: I'm a boy. I masturbate. I'm 13. Is it bad to masturbate? ,I'm a boy. I masturbate. I'm 13. Is it bad to masturbate? 
"surprise to curiosity: What is the song that goes like ""Woah oh oh oh woah oh woah""?","What is the song that goes like ""Woah oh oh oh woah oh woah""?"
